"REC_NO","COLL_DATE","GRAINSIZE","SOIL_HORIZ","SETTING","RELIEF","VEG","LATITUDE","LONGITUDE","HUC_8","TYPEDESC","SOURCE","STUDY","PH","P_ICP40","C_TOT","C_ORG","Date","P_mgkg","Depth","surface","min_depth","max_depth","max_depth_est"
"ST003416","20000726","","","marsh","","",30.19648,-90.43247,8070204,"SOIL","Soil","",NA,0.05,NA,NA,2000-07-26,500,"","",NA,NA,12
"ST003417","20000726","","","suburban","","",30.40443,-90.32362,8070205,"SOIL","Soil","",NA,0.025,NA,NA,2000-07-26,250,"","",NA,NA,12
"ST003425","20000720","","","woods","","",30.41267,-90.16133,8090201,"SOIL","Soil","",NA,0.03,NA,NA,2000-07-20,300,"","",NA,NA,12
"ST003429","20000714","","","farm field","","",30.59017,-91.75833,8080101,"SOIL","Soil","",NA,0.07,NA,NA,2000-07-14,700,"","",NA,NA,12
"ST003430","20000713","","","farm field","","",30.75267,-91.978,8080102,"SOIL","Soil","",NA,0.03,NA,NA,2000-07-13,300,"","",NA,NA,12
"ST003434","20000713","","","suburban","","",30.76317,-91.31133,8070201,"SOIL","Soil","",NA,0.025,NA,NA,2000-07-13,250,"","",NA,NA,12
"ST003435","20000711","","","farm field","","",30.99567,-91.88033,8080101,"SOIL","Soil","",NA,0.06,NA,NA,2000-07-11,600,"","",NA,NA,12
"ST003437","20000711","","","farm field","","",30.85283,-91.69983,8080101,"SOIL","Soil","",NA,0.055,NA,NA,2000-07-11,550,"","",NA,NA,12
"ST003438","20000711","","","suburban","","",30.7845,-91.62583,8080101,"SOIL","Soil","",NA,0.065,NA,NA,2000-07-11,650,"","",NA,NA,12
"ST003439","20000711","","","suburban","","",30.718,-91.57217,8070100,"SOIL","Soil","",NA,0.06,NA,NA,2000-07-11,600,"","",NA,NA,12
"ST003440","20000711","","","suburban","","",30.61367,-91.45383,8070300,"SOIL","Soil","",NA,0.11,NA,NA,2000-07-11,1100,"","",NA,NA,12
"ST003441","20000629","","","woods","","",30.388,-91.65233,8080101,"SOIL","Soil","",NA,0.075,NA,NA,2000-06-29,750,"","",NA,NA,12
"ST003446","20000628","","","farm field","","",30.31283,-91.87083,8080102,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-28,250,"","",NA,NA,12
"ST003452","20000620","","","farm field","","",32.39657,-91.82217,8050001,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-20,400,"","",NA,NA,12
"ST003454","20000620","","","farm field","","",32.337,-91.84365,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-20,250,"","",NA,NA,12
"ST003455","20000620","","","farm field","","",32.337,-91.84365,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-20,250,"","",NA,NA,12
"ST003456","20000619","","","farm field","","",32.38838,-91.0454,8050003,"SOIL","Soil","",NA,0.065,NA,NA,2000-06-19,650,"","",NA,NA,12
"ST003457","20000619","","","farm field","","",32.70015,-91.13172,8050003,"SOIL","Soil","",NA,0.06,NA,NA,2000-06-19,600,"","",NA,NA,12
"ST003458","20000619","","","farm field","","",32.74637,-91.23488,8050003,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-19,400,"","",NA,NA,12
"ST003459","20000614","","","farm field","","",32.9911,-91.23892,8050002,"SOIL","Soil","",NA,0.06,NA,NA,2000-06-14,600,"","",NA,NA,12
"ST003460","20000619","","","farm field","","",32.87195,-91.51015,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-19,250,"","",NA,NA,12
"ST003461","20000619","","","farm field","","",32.75583,-91.42107,8050002,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-19,400,"","",NA,NA,12
"ST003463","20000620","","","woods","","",32.5225,-91.94055,8050001,"SOIL","Soil","",NA,0.045,NA,NA,2000-06-20,450,"","",NA,NA,12
"ST003464","20000620","","","gravel pit","","",32.71548,-91.97762,8050001,"SOIL","Soil","",NA,0.01,NA,NA,2000-06-20,100,"","",NA,NA,12
"ST003465","20000620","","","woods","","",32.89038,-91.9722,8040202,"SOIL","Soil","",NA,0.01,NA,NA,2000-06-20,100,"","",NA,NA,12
"ST003466","20000620","","","farm field","","",32.74412,-91.80663,8050001,"SOIL","Soil","",NA,0.015,NA,NA,2000-06-20,150,"","",NA,NA,12
"ST003467","20000620","","","farm field","","",32.78158,-91.73852,8050001,"SOIL","Soil","",NA,0.02,NA,NA,2000-06-20,200,"","",NA,NA,12
"ST003468","20000621","","","farm field","","",32.53683,-91.64525,8050001,"SOIL","Soil","",NA,0.03,NA,NA,2000-06-21,300,"","",NA,NA,12
"ST003469","20000621","","","farm field","","",32.90077,-91.64868,8050001,"SOIL","Soil","",NA,0.055,NA,NA,2000-06-21,550,"","",NA,NA,12
"ST003470","20000621","","","farm field","","",32.82757,-91.62657,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-21,250,"","",NA,NA,12
"ST003471","20000621","","","farm field","","",32.6448,-91.40808,8050002,"SOIL","Soil","",NA,0.035,NA,NA,2000-06-21,350,"","",NA,NA,12
"ST003472","20000621","","","farm field","","",32.61323,-91.36775,8050002,"SOIL","Soil","",NA,0.065,NA,NA,2000-06-21,650,"","",NA,NA,12
"ST003473","20000621","","","farm field","","",32.54293,-91.3687,8050002,"SOIL","Soil","",NA,0.045,NA,NA,2000-06-21,450,"","",NA,NA,12
"ST003474","20000621","","","farm field","","",32.5386,-91.43572,8050002,"SOIL","Soil","",NA,0.05,NA,NA,2000-06-21,500,"","",NA,NA,12
"ST003476","20000621","","","farm field","","",32.11383,-91.17223,8060100,"SOIL","Soil","",NA,0.075,NA,NA,2000-06-21,750,"","",NA,NA,12
"ST003483","20000710","","","farm field","","",30.66733,-92.4863,8080201,"SOIL","Soil","",NA,0.015,NA,NA,2000-07-10,150,"","",NA,NA,12
"ST003489","20000711","","","farm field","","",30.53883,-92.27107,8080201,"SOIL","Soil","",NA,0.02,NA,NA,2000-07-11,200,"","",NA,NA,12
"ST003495","20000712","","","woods","","",30.67023,-92.8494,8080203,"SOIL","Soil","",NA,0.005,NA,NA,2000-07-12,50,"","",NA,NA,12
"ST003500","20000628","","","farm field","","",30.13383,-91.7975,8080102,"SOIL","Soil","",NA,0.055,NA,NA,2000-06-28,550,"","",NA,NA,12
"ST003502","20000628","","","suburban","","",30.09867,-91.84167,8080102,"SOIL","Soil","",NA,0.039,NA,NA,2000-06-28,390,"","",NA,NA,12
"ST003510","20000622","","","urban","","",29.972,-90.1255,8090203,"SOIL","Soil","",NA,0.061,NA,NA,2000-06-22,610,"","",NA,NA,12
"ST003528","20000615","","","marsh","","",30.54017,-91.7635,8080101,"SOIL","Soil","",NA,0.088,NA,NA,2000-06-15,880,"","",NA,NA,12
"ST003532","20000614","","","marsh","","",30.371,-90.55383,8070203,"SOIL","Soil","",NA,0.022,NA,NA,2000-06-14,220,"","",NA,NA,12
"ST003533","20000614","","","marsh","","",30.27217,-90.71067,8070202,"SOIL","Soil","",NA,0.044,NA,NA,2000-06-14,440,"","",NA,NA,12
"ST003542","20000406","","","woods","","",31.08227,-91.6921,8040301,"SOIL","Soil","",NA,0.066,NA,NA,2000-04-06,660,"","",NA,NA,12
"ST003543","20000406","","","farm field","","",31.27498,-91.65055,8060100,"SOIL","Soil","",NA,0.061,NA,NA,2000-04-06,610,"","",NA,NA,12
"ST003544","20000406","","","farm field","","",31.40898,-91.68508,8040306,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003545","20000406","","","farm field","","",31.42062,-91.59998,8040306,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003546","20000406","","","farm field","","",31.5488,-91.5799,8040306,"SOIL","Soil","",NA,0.072,NA,NA,2000-04-06,720,"","",NA,NA,12
"ST003547","20000406","","","farm field, suburban","","",31.61137,-91.52888,8040306,"SOIL","Soil","",NA,0.05,NA,NA,2000-04-06,500,"","",NA,NA,12
"ST003548","20000406","","","farm field","","",31.75692,-91.43123,8050003,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003549","20000406","","","farm field","","",31.83878,-91.55232,8050003,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-06,390,"","",NA,NA,12
"ST003550","20000406","","","farm field","","",31.89667,-91.25007,8050003,"SOIL","Soil","",NA,0.072,NA,NA,2000-04-06,720,"","",NA,NA,12
"ST003551","20000407","","","farm field","","",31.97348,-91.45088,8050003,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003552","20000407","","","farm field","","",31.98272,-91.56455,8050002,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003553","20000407","","","farm field","","",31.97563,-91.80722,8050001,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003554","20000407","","","farm field","","",31.98277,-91.86115,8050001,"SOIL","Soil","",NA,0.022,NA,NA,2000-04-07,220,"","",NA,NA,12
"ST003555","20000424","","","farm field","","",31.21553,-92.42915,8080102,"SOIL","Soil","",NA,0.05,NA,NA,2000-04-24,500,"","",NA,NA,12
"ST003556","20000424","","","farm field","","",31.37535,-92.67105,8080102,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-24,390,"","",NA,NA,12
"ST003558","20000424","","","farm field","","",31.6399,-93.00637,11140207,"SOIL","Soil","",NA,0.061,NA,NA,2000-04-24,610,"","",NA,NA,12
"ST003559","20000424","","","farm field","","",31.80047,-93.01247,11140207,"SOIL","Soil","",NA,0.044,NA,NA,2000-04-24,440,"","",NA,NA,12
"ST003561","20000425","","","farm field","","",32.59055,-93.73182,11140204,"SOIL","Soil","",NA,0.044,NA,NA,2000-04-25,440,"","",NA,NA,12
"ST003562","20000425","","","suburban","","",32.72418,-93.76532,11140202,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-25,170,"","",NA,NA,12
"ST003565","20000425","","","farm field","","",32.97217,-93.85617,11140304,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-25,550,"","",NA,NA,12
"ST003570","20000425","","","farm field","","",32.68583,-93.83568,11140304,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-25,550,"","",NA,NA,12
"ST003573","20000425","","","suburban","","",32.39722,-93.76407,11140206,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-25,170,"","",NA,NA,12
"ST003574","20000426","","","woods","","",32.6866,-93.5792,11140205,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003575","20000426","","","woods","","",32.82627,-93.53582,11140205,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-26,60,"","",NA,NA,12
"ST003576","20000426","","","woods","","",32.84977,-93.35353,11140203,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-26,170,"","",NA,NA,12
"ST003577","20000426","","","woods","","",32.97077,-93.4117,11140203,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-26,60,"","",NA,NA,12
"ST003578","20000426","","","woods","","",33.00992,-93.38168,11140203,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003579","20000426","","","woods","","",32.61288,-93.3683,11140203,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003580","20000426","","","farm field","","",32.39848,-93.56382,11140204,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-26,390,"","",NA,NA,12
"ST003581","20000427","","","woods, suburban","","",32.5299,-93.42047,11140203,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-27,60,"","",NA,NA,12
"ST003610","20000524","","","suburban","","",32.83225,-92.14712,8040202,"SOIL","Soil","",NA,0.023,NA,NA,2000-05-24,230,"","",NA,NA,12
"ST003618","20000525","","","farm field","","",32.64387,-92.04103,8040207,"SOIL","Soil","",NA,0.029,NA,NA,2000-05-25,290,"","",NA,NA,12
"ST003619","20000525","","","farm field","","",32.29612,-92.0878,8040207,"SOIL","Soil","",NA,0.029,NA,NA,2000-05-25,290,"","",NA,NA,12
"ST003621","20000809","","","farm field","","",30.1841,-93.0801,8080203,"SOIL","Soil","",NA,0.012,NA,NA,2000-08-09,120,"","",NA,NA,12
